BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
BARCPTPL   ;BARCLAYS BANK PLC                                                                                                                           ;1;1;0;1;0
BARPCHG1   ;BARCLAYS BANK PLC, GENEVA BRANCH                                                                                                            ;1;0;0;0;0
BASECH22   ;BANCA DEL SEMPIONE SA                                                                                                                       ;1;0;0;0;0
BASKES2B   ;KUTXABANK, S.A.                                                                                                                             ;1;1;0;1;0
BASKFR21   ;KUTXABANK                                                                                                                                   ;1;1;0;0;0
BASMSMSM   ;BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.                                                                             ;1;1;0;1;0
BATIFRP1   ;BANQUE DU BATIMENT ET DES TRAVAUX PUBLICS SA                                                                                                ;1;1;0;1;0
BAUMCHBB   ;BAUMANN ET CIE BANQUIERS                                                                                                                    ;1;0;0;0;0
BAWAATWW   ;BAWAG P.S.K. BANK FUER ARBEIT UND WIRTSCHAFT UND OESTERREICHISCHE POST                                                                      ;1;1;0;1;0
BAWAMTM3   ;BAWAG-PSK Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse AG                                                               ;1;0;0;0;0
BBKRDE6B   ;KREISSPARKASSE BOEBLINGEN                                                                                                                   ;1;1;0;1;1
BBOBCH22   ;BBO BANK BRIENZ OBERHASLI AG                                                                                                                ;1;0;0;0;0
BBPIESMM   ;BANCO BPI S.A.- SUCURSAL EN ESPANA                                                                                                          ;1;1;0;0;0
BBPIFRPP   ;BANCO BPI, PARIS                                                                                                                            ;1;1;0;1;0
BBPIPTPL   ;BANCO BPI SA                                                                                                                                ;1;1;0;1;0
BBRODK21   ;BREDEBRO SPAREKASSE                                                                                                                         ;1;1;0;1;0
BBRUBEBB   ;ING BELGIUM NV/SA (FORMERLY BANK BRUSSELS LAMBERT SA), BRUSSELS                                                                             ;1;1;0;1;0
BBRUCHGT   ;ING BELGIUM, BRUSSELS, GENEVA BRANCH                                                                                                        ;1;0;0;0;0
BBRUESMX   ;ING BANK NV, SPANISH BRANCH                                                                                                                 ;1;1;0;1;0
BBRUPTPL   ;ING B NV/SA, SUCURSAL EM PORTUGAL (FORMERLY BANK BRUSSELS LAMBERT, LIS                                                                      ;1;1;0;1;0
BBSPDE6K   ;DEUTSCHE BAUSPARKASSE BADENIA AKTIENGESELLSCHAFT                                                                                            ;1;1;0;0;0
BBVABEBB   ;BANCO BILBAO VIZCAYA ARGENTARIA S.A.                                                                                                        ;1;1;0;1;0
BBVACHZZ   ;BBVA SUIZA SA                                                                                                                               ;1;0;0;0;0
BBVADEFF   ;BANCO BILBAO VIZCAYA ARGENTARIA SA.                                                                                                         ;1;0;0;0;0
BBVAESMM   ;BANCO BILBAO VIZCAYA ARGENTARIA S.A.                                                                                                        ;1;1;0;1;0
BBVAFRPP   ;BANCO BILBAO VIZCAYA ARGENTARIA                                                                                                             ;1;1;0;1;0
BBVAGB2L   ;BANCO BILBAO VIZCAYA ARGENTARIA S.A.                                                                                                        ;1;1;0;1;0
BBVAITMM   ;BANCO BILBAO VIZCAYA ARGENTARIA S.A.                                                                                                        ;1;0;0;0;0
BBVAPTPL   ;BANCO BILBAO VIZCAYA ARGENTARIA (PORTUGAL) S.A.                                                                                             ;1;1;0;1;0
BCABIT21   ;BANCO DI BRESCIA S.P.A.                                                                                                                     ;1;1;0;1;0
BCALIT22   ;BANCA SELLA                                                                                                                                 ;1;1;0;0;0
BCCAESMM   ;BANCO DE CR DITO SOCIAL COOPERATIVO                                                                                                         ;1;1;0;1;0
BCCAESMMXXX;BANCO DE CREDITO SOCIAL COOPERATIVO                                                                                                         ;1;0;0;0;0
BCCDIT3C   ;BANCA DI CREDITO COOPERATIVO DI CASTAGNETO CARDUCCI S.C.R.L.                                                                                ;1;1;0;1;0
BCCDIT31   ;BCC CASTAGNETO CARDUCCI                                                                                                                     ;1;0;0;0;0
BCCFIT31   ;BCC DI FORNACETTE                                                                                                                           ;1;0;0;0;0
BCCFIT33   ;BANCA DI PISA E FORNACETTE CREDITO COOPERATIVO SOC.COOP.P.A.                                                                                ;1;1;0;1;0
BCDMBEBB   ;BANQUE CHAABI DU MAROC                                                                                                                      ;1;1;0;0;0
BCDMESMMXXX;BANQUE CHAABI DU MAROC                                                                                                                      ;1;0;0;0;0
BCDMFRPP   ;BANQUE CHAABI DU MAROC                                                                                                                      ;1;1;0;0;0
BCDMITM1   ;BANQUE CHAABI DU MAROC                                                                                                                      ;1;1;0;1;0
BCDMNL22   ;BANQUE CHAABI DU MAROC S.A.                                                                                                                 ;1;1;0;0;0
BCDUIE21   ;FIRST SOUTH CREDIT UNION LIMITED                                                                                                            ;1;1;0;0;0
BCEELULL   ;BANQUE ET CAISSE D'EPARGNE DE L'ETAT                                                                                                        ;1;1;0;1;0
BCEPITMM   ;BANCA CESARE PONTI S.P.A.                                                                                                                   ;1;1;0;1;0
BCGECHGG   ;BANQUE CANTONALE DE GENEVE                                                                                                                  ;1;0;0;0;0
BCHAFR21   ;BANQUE CHALUS SA                                                                                                                            ;1;1;0;1;0
BCIBFRP1   ;BANQUE CHABRIERES SA                                                                                                                        ;1;1;0;1;0
BCITDEFF   ;INTESA SANPAOLO S.P.A.-FRANKFURT                                                                                                            ;1;1;0;1;0
BCITESMM   ;INTESA SANPAOLO S.P.A. (FORMER SANPAOLO IMI), MADRID BRANCH, MADRID                                                                         ;1;1;0;1;0
BCITFRPP   ;INTESA SANPAOLO SPA                                                                                                                         ;1;1;0;1;0
BCITGB2L   ;INTESA SANPAOLO SPA LONDON (FORMERLY BANCA INTESA S.P.A. LONDON)                                                                            ;1;1;0;1;0
BCITGB4L   ;INTESA SANPAOLO PRIVATE BANKING LONDON BRANCH                                                                                               ;1;1;0;1;0
BCITIE2D   ;INTESA SANPAOLO BANK IRELAND PLC                                                                                                            ;1;1;0;1;0
BCITITMM   ;INTESA SANPAOLO SPA                                                                                                                         ;1;1;0;1;0
BCITITMX   ;BANCA PROSSIMA S.P.A.                                                                                                                       ;1;1;0;1;0
BCITITM1   ;INTESA SANPAOLO SPA                                                                                                                         ;1;1;0;1;0
BCITITM3   ;INTESA SANPAOLO PRIVATE BANKING SPA                                                                                                         ;1;1;0;1;0
BCITIT61   ;MEDIOCREDITO ITALIANO SPA                                                                                                                   ;1;1;0;1;0
